id,source,target,length
426,360329603,5831558757,270.4734357083804
427,360329603,360329553,80.78785771042004
428,360329900,5831558756,103.12191989215896
429,360329900,360329918,163.89402123114138
430,360329900,5831558762,55.228397030909356
431,360329918,5831558772,199.67022664013538
432,360329918,8218745703,112.313875128599
433,360329918,393087813,517.7479468086475
434,360329918,360329900,163.89402123114138
435,360338144,5870600555,83.65870125830521
436,360338144,5870599765,115.97735115472322
437,360338144,5870600449,119.66367597764099
438,360338199,340361600,341.1635445193082
439,360338199,360338262,73.34927960799655
440,360338199,5870601006,101.5792239124916
441,360338262,360338199,73.34927960799655
442,360338262,360338431,297.1259225725808
443,360338262,5870599700,356.5857499119415
444,360338431,360338262,297.12592257258086
445,360338431,360338455,112.69060429837232
446,360338431,360338455,767.302797757003
447,360338455,360338431,112.69060429837232
448,360338455,360338431,767.302797757003
449,360338455,13042860827,110.94611680047915
450,360338676,5870599574,6.557212460805325
451,360338676,360341071,280.44221894214036
452,360338676,5870600685,188.49032649737728
453,360341071,360341109,560.4576216569866
454,360341071,360338676,280.44221894214036
455,360341071,5870599712,581.0751129264227
456,360341109,5870600270,23.840600972080797
457,360341109,360341071,560.4576216569866
458,360341109,5864902915,370.9388832691377
459,360343019,398664875,443.0867946206363
460,360343019,5870599941,647.5462451572607
461,360343019,5870600613,31.29172037471136
462,393087813,393087814,48.32108840057634
463,393087813,12924985424,81.39741030014747
464,393087813,360329918,517.7479468086475
465,393087814,393087813,48.32108840057634
466,393087814,5831545789,394.48210974173236
467,393087814,393087816,160.57428777676782
468,393087816,12924982675,550.0202830473995
469,393087816,4770546995,246.59380204999127
470,393087816,393087814,160.57428777676782
471,393087822,5831545561,128.64679891583188
472,393087822,393087826,231.0894015885421
473,393087822,4770546995,59.48217147810101
474,393087826,393087827,43.63646650975253
475,393087826,393087822,231.0894015885421
476,393087826,5831545545,308.2577259186156
477,393087827,393087826,43.63646650975253
478,393087827,393087829,124.75651134540874
479,393087827,5831542968,296.2692805900386
480,393087829,393087838,124.09190268156874
481,393087829,393087827,124.75651134540874
482,393087829,5831542968,166.24413440251698
483,393087838,5831542973,272.7089056951895
484,393087838,393087829,124.09190268156874
485,393087838,7645633825,360.4231147210014
486,393087849,5831663097,9.575663130207127
487,393087849,8794923829,344.4271554358898
488,393087849,5831545504,284.79194800927496
489,393089400,393089403,86.95652692782272
490,393089400,8794923829,144.38391740906007
491,393089400,5831663000,127.99379907671029
492,393089403,393089416,418.904912506383
493,393089403,393089400,86.95652692782272
494,393089403,7645633797,378.1221879720274
495,393089416,7645626376,55.365720047548535
496,393089416,7645633792,58.733951901529785
497,393089416,393089403,418.904912506383
498,393089421,393089424,75.81927861690804
499,393089421,7645633792,24.855446923899898
500,393089421,7645633796,155.8897198021097
