u,v,key,source,target,length
306423616,306423602,0,306423616,306423602,131.9929376470897
306423616,306423620,0,306423616,306423620,107.28813831563205
306423616,5870057457,0,306423616,5870057457,682.9558592806075
306423620,5870125592,0,306423620,5870125592,60.690730288604755
306423620,306423616,0,306423620,306423616,107.28813831563205
306423620,5870058405,0,306423620,5870058405,314.5895641114519
306423636,5870058405,0,306423636,5870058405,8.522813814938145
306423636,5870058376,0,306423636,5870058376,248.50500965451204
306423636,5870057476,0,306423636,5870057476,333.57833704115177
306423715,5870058376,0,306423715,5870058376,1451.2613610776293
306423715,5870057956,0,306423715,5870057956,221.82237803358555
306423715,2640251368,0,306423715,2640251368,560.7871820175665
313460739,5274680206,0,313460739,5274680206,95.72701205728367
313460739,3251533869,0,313460739,3251533869,60.736086972814306
313460739,5882978551,0,313460739,5882978551,98.84466752490155
340355113,5871738773,0,340355113,5871738773,915.5011350479461
340355113,5871739984,0,340355113,5871739984,904.9785680484483
340355113,5871736607,0,340355113,5871736607,224.52775608520048
340355163,411488626,0,340355163,411488626,117.25632079537716
340355163,3903466451,0,340355163,3903466451,127.56183638711079
340355163,5871739984,0,340355163,5871739984,171.69196038701193
340355163,5232578646,0,340355163,5232578646,56.632365121809606
340355170,5232580334,0,340355170,5232580334,16.53006372368444
340355170,7517623848,0,340355170,7517623848,90.19924282553056
340355170,5232582188,0,340355170,5232582188,145.89155772626492
340355281,12520801051,0,340355281,12520801051,25.81968450029615
340355281,340355328,0,340355281,340355328,522.8921836654457
340355281,8867494325,0,340355281,8867494325,18.812835945910034
340355328,340355438,0,340355328,340355438,1134.55974445459
340355328,340355281,0,340355328,340355281,522.8921836654457
340355328,5871737931,0,340355328,5871737931,304.7971991489001
340355438,340355446,0,340355438,340355446,291.8816494524883
340355438,340355328,0,340355438,340355328,1134.55974445459
340355438,5871736886,0,340355438,5871736886,707.9281666783062
340355446,5300686997,0,340355446,5300686997,89.54310710293991
340355446,340355438,0,340355446,340355438,291.8816494524883
340355446,5871738107,0,340355446,5871738107,1187.1227598153873
340355463,5870702486,0,340355463,5870702486,330.2395895674988
340355463,5300686997,0,340355463,5300686997,837.3984805526366
340355463,8157194626,0,340355463,8157194626,397.5683491674938
340355472,3251511674,0,340355472,3251511674,222.24457325441406
340355472,12518559789,0,340355472,12518559789,202.63128413511652
340355472,5870702522,0,340355472,5870702522,378.5237721312991
340355485,5297534124,0,340355485,5297534124,18.864918166596322
340355485,3251511687,0,340355485,3251511687,290.9747044587452
340355485,5870260729,0,340355485,5870260729,679.6671443509151
340355500,5871738143,0,340355500,5871738143,8.124099950056848
340355500,5871736607,0,340355500,5871736607,240.26788205172682
340355500,5871735944,0,340355500,5871735944,241.79646386282266
340355645,5870061588,0,340355645,5870061588,178.35961311866023
340355645,3903466419,0,340355645,3903466419,238.19108075123842
340355645,5870062562,0,340355645,5870062562,576.52556849369
340355656,5870062545,0,340355656,5870062545,85.88099793775153
340355656,5870060557,0,340355656,5870060557,128.02637410792664
340355656,5870060242,0,340355656,5870060242,124.38800502533849
340355658,340355659,0,340355658,340355659,140.0179915005868
340355658,12934653304,0,340355658,12934653304,78.5737940954503
340355658,5870062545,0,340355658,5870062545,236.16230887025222
340355659,340355658,0,340355659,340355658,140.0179915005868
340355659,5870060283,0,340355659,5870060283,437.3544659247434
340355659,12934807452,0,340355659,12934807452,165.90290554743603
340355695,5870061181,0,340355695,5870061181,225.96078506707929
340355695,5870061581,0,340355695,5870061581,64.0875480124338
340355695,5870061599,0,340355695,5870061599,251.84393529569337
340355699,5870061370,0,340355699,5870061370,57.286339290639525
340355699,5870060299,0,340355699,5870060299,100.86760525043272
340355699,340355700,0,340355699,340355700,126.02126811936857
340355700,5232566621,0,340355700,5232566621,66.30906251793303
340355700,5870060299,0,340355700,5870060299,196.69001955118898
340355700,340355699,0,340355700,340355699,126.02126811936857
340355704,5870398458,0,340355704,5870398458,29.22569575080953
340355704,411451013,0,340355704,411451013,186.0484083882804
340355704,12498671824,0,340355704,12498671824,52.599223865297205
340355724,5877686440,0,340355724,5877686440,768.6820357865164
340355724,5877687230,0,340355724,5877687230,171.7479787898118
340355724,5877687785,0,340355724,5877687785,584.7979933591422
340355742,12069547696,0,340355742,12069547696,53.10917780965347
340355742,5877687895,0,340355742,5877687895,8.470208416355753
340355742,5877686180,0,340355742,5877686180,263.66146713920386
340355742,5877687843,0,340355742,5877687843,195.19866690353777
340355780,340355782,0,340355780,340355782,223.57443508715707
340355780,5877686321,0,340355780,5877686321,232.17549858621004
340355780,5877687966,0,340355780,5877687966,637.7827864797118
340355782,340355780,0,340355782,340355780,223.57443508715707
340355782,3251555399,0,340355782,3251555399,593.3349129878866
340355782,3251554139,0,340355782,3251554139,718.6123673434043
340355795,4770519178,0,340355795,4770519178,280.8447965351699
340355795,5877715835,0,340355795,5877715835,438.0029414239053
340355795,8093081286,0,340355795,8093081286,156.16790370155707
340355817,5882977791,0,340355817,5882977791,275.7461217106762
340355817,3251533942,0,340355817,3251533942,130.43990538750768
340355817,5234303775,0,340355817,5234303775,88.54818431161823
340355823,5234305873,0,340355823,5234305873,124.02380337623566
340355823,5234304562,0,340355823,5234304562,53.9483498849918
340355823,340355826,0,340355823,340355826,165.74878185956297
340355826,5882978859,0,340355826,5882978859,181.7560199615046
340355826,340355823,0,340355826,340355823,165.74878185956297
340355826,9582582126,0,340355826,9582582126,71.51121844710626
340355888,340361542,0,340355888,340361542,94.47324108092494
340355888,340355953,0,340355888,340355953,317.95945106224605
340355888,5870599765,0,340355888,5870599765,137.90328601657586
340355953,340355957,0,340355953,340355957,17.985023205118697
340355953,340355888,0,340355953,340355888,317.9594510622461
340355953,5870599959,0,340355953,5870599959,237.0294157515416
340355957,340355953,0,340355957,340355953,17.985023205118697
340355957,5870599724,0,340355957,5870599724,113.14934641117719
340355957,5870599536,0,340355957,5870599536,100.79932878368231
340355957,5870600772,0,340355957,5870600772,153.56753237684316
340356011,5870599561,0,340356011,5870599561,229.84405792418877
340356011,5870600135,0,340356011,5870600135,23.919429811912828
340356011,5870600766,0,340356011,5870600766,332.8034773408746
340356141,5870600271,0,340356141,5870600271,961.5656301646457
340356141,340356150,0,340356141,340356150,139.99292102774226
340356141,5870601074,0,340356141,5870601074,243.65937653464107
